year,route,origin_iata,destination_iata,distance_km,region,main_airlines,annual_passengers_m,avg_fare_usd,weekly_frequency_est,annual_revenue_usd_m
2015,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",6.37,50.0,19,320.5
2018,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",7.92,68.0,22,539.4
2019,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",7.65,65.0,21,498.0
2020,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",2.21,21.0,4,45.4
2021,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",3.57,34.0,10,121.5
2022,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",5.69,47.0,17,270.2
2023,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",6.77,71.0,18,483.1
2024,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",7.51,73.0,24,550.3
2025,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",8.33,77.0,24,644.5
2026,Jeju-Seoul,CJU,GMP,451,Asia,"Korean Air, Asiana, JeJu Air",8.03,74.0,22,594.5
2015,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",3.29,66.0,10,216.8
2018,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",3.44,80.0,9,275.5
2019,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",4.03,84.0,13,340.7
2020,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",1.11,25.0,2,27.7
2021,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",1.88,41.0,4,76.5
2022,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",2.72,57.0,5,155.5
2023,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",3.47,82.0,8,283.8
2024,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",3.79,97.0,10,367.1
2025,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",4.25,95.0,13,402.4
2026,Tokyo-Sapporo,HND,CTS,821,Asia,"ANA, JAL",4.02,92.0,10,367.7
2015,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",5.65,62.0,15,352.4
2018,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",6.33,81.0,21,510.3
2019,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",6.95,72.0,18,501.8
2020,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",2.1,23.0,5,48.4
2021,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",3.57,40.0,11,143.0
2022,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",5.24,55.0,16,287.8
2023,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",6.73,78.0,20,527.2
2024,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",7.02,75.0,20,529.0
2025,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",7.46,90.0,22,671.9
2026,Melbourne-Sydney,MEL,SYD,705,Oceania,"Qantas, Virgin Australia",8.28,90.0,25,743.1
2015,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",6.34,82.0,20,519.1
2018,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",6.99,89.0,20,625.1
2019,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",7.53,103.0,22,777.8
2020,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",2.31,26.0,6,59.2
2021,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",3.65,46.0,13,167.8
2022,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",5.48,70.0,16,384.4
2023,Mumbai-Delhi,BOM,DEL,1148,Asia,"IndiGo, Air India, Vistara",6.42,87.0,20,558.8
